id,name,city,address_1,address_2,lat,lon
15845852,"1160 Battery St","San Francisco","1160 Battery St",,37.802017,-122.401039
1584843,"AOL","Palo Alto","395 Page Mill Road",,37.424931,-122.139061
1585150,"500 Startups","Mountain View","444 Castro Street",,37.390499,-122.081154
15853862,"Stripe","San Francisco","3180 18th St",,37.762386,-122.414604
1586125,"Adobe Systems San Francisco","San Francisco","601 Townsend Street",,37.771374,-122.401955
15867572,"Rocket Lawyer","San Francisco","55 Second St, 7th Floor",,37.788723,-122.400444
1587464,"DLA Piper","Palo Alto","2000 University Ave",,37.45911,-122.14233
15901932,"Prezi Offices","San Francisco","642 Harrison Street",,37.783825,-122.396439
15903682,"SAP Labs","Palo Alto","Project Room Sequoia - 3475 Deer Creek Rd. Palo Alto (Bldg. 7)",,37.441883,-122.143021
15926652,"Metreon City View"," San Francisco","135 4th St",,37.784088,-122.403313
15938222,"K1 Speed","Santa Clara","2925 Mead Avenue",,37.372276,-121.98056
15941552,"The Westin St. Francis San Francisco on Union Square","San Francisco","335 Powell St",,37.78783,-122.4086
15945832,"https://plus.google.com/u/0/events/cfff7sdu99foa22fb8s68i5vpic","San Francisco","Online",,37.790134,-122.411247
1595653,"Thirsty Bear Brewing Co","San Francisco","661 Howard Street",,37.785503,-122.399681
15965612,"111 Minna Gallery","San Francisco","111 Minna Street",,37.787422,-122.399406
15977682," Telerik","Palo Alto","169 University ave",,37.444618,-122.163261
15978292,"Royal Tug Yacht Club","San Francisco","895 Bush Street",,37.789757,-122.412003
16017872,"WeWork ","San Francisco","25 Taylor Street",,37.782452,-122.410751
